Topic,Match Label,Difficulty Category,University A,Course A Subject,Course A Code,Course A Title,Course A Description,University B,Course B Subject,Course B Code,Course B Title,Course B Description,Annotator Initials,Notes
Economic Growth,1,niche,UCSC,ECON   ,121,Economic Growth,"Studies economic growth from theoretical, empirical, and historical perspectives. Topics include: theories of economic growth and their empirical importance, technology and innovation, social institutions and growth, and competing explanations of the global distribution of wealth.",UCLA,ECON,164,Advanced Topics in Macroeconomics: Theory of Economic Growth,"Use of neoclassical growth model to address various issues, with emphasis on quantitative analysis. Development of economic theory and application to study of long-run growth, industrial revolution, and Great Depression.",PB,
Film ,2,mid,UCSC,FILM ,150,Screenwriting,"Problems in writing for film and television are explored through the writing of original material and analysis of existing works. Various film genres, conventions, and styles, both fictional and nonfictional, are examined.  Admission by application; application materials available during the last three weeks of preceding quarter. ",UCI,FLM&MDA,117A,Introduction to Screenwriting.,"Introduction to the technique and format of the screenplay, with a particular focus on its three act structural elements: coverage, treatment, and 60 beat outline. Materials Fee",PB,
Evolution ,2,mid,UCD,WFC ,134,Herpetology,"Evolution and ecology of the world’s diverse reptiles and amphibians. Emphasis on adaptations to environments, species interactions, management, and conservation.",UCLA,EE BIOL,113A,Herpetology,"Exploration and summarization of evolution, ecology, life history, and conservation biology of world's reptile and amphibian fauna. Topics include conservation assessments both globally and in California, discussion sections focused on student-led critical evaluations of current literature, and in-class meetings with professional herpetologists to share their professional experiences and job opportunities.",PB,
Genes,1,niche,UCD,ETX,140,Genes & the Environment,"Evaluation of evidence that human health and disease susceptibility result from complex interactions between genes and the environment. Critical thinking through problem solving using the scientific method with examples of cancer, metabolic, cardiovascular, and neurological health outcomes related to environmental and genetic risk factors and mechanisms.",UCLA,ANTHRO,M126N,"Genes, Disease, and Culture","Introduction to genes, disease, and culture. Introduction to basic concepts in human genetics, expanding upon evolutionary genetic concepts learned in course 1, and survey of both inherited and infectious disease on global level. Wide range of topics include gene-culture co-evolution, niche construction theory, cultural perceptions of disease, cultural selection, biological and environmental determinism, and evolutionary origins of disease. Course is broken down into genes and genomes, Mendelian disease, complex disease, and infectious disease. Discussion of selected readings that integrate cultural perceptions with biological/genetic phenomena.",TT,
Economic Growth,1,mid,UCI,ECON,166,Development Economics.,"Uses theory and empirics to understand the economies of low- and middle-income countries. Explores the concept, determinants, and consequences of economic growth, drawing on historical and cross-country evidence. Topics include poverty, inequality, agriculture, demography, and strategies of risk management.",UCSC,ECON   ,121,Economic Growth,"Studies economic growth from theoretical, empirical, and historical perspectives. Topics include: theories of economic growth and their empirical importance, technology and innovation, social institutions and growth, and competing explanations of the global distribution of wealth.",TT,
Anthropology Law,2,easy,UCSC,LGST,142,Anthropology of Law,"An ethnographically informed consideration of law, dispute management, and social control in a range of societies including the contemporary U.S. Topics include conflict management processes, theories of justice, legal discourse, and relations among local, national, and transnational legal systems.",UCI,ANTHRO,127D,Anthropology of Law .,"Introduces the anthropological study of law through a focus on the foundations of this subfield, its primary methodologies, and several important topics of inquiry, including policing, immigration, and structural inequalities. Provides an international perspective on law and society.",PB,
Anthropology Law,1,mid,UCSC,LGST,142,Anthropology of Law,"An ethnographically informed consideration of law, dispute management, and social control in a range of societies including the contemporary U.S. Topics include conflict management processes, theories of justice, legal discourse, and relations among local, national, and transnational legal systems.",UCLA,SOCIOL,169,Law and Society,"Specific topics may include law in preindustrial and industrialized societies, legalization of contemporary social relations, participants' experiences of legal processes, lay perceptions of justice, social movements toward equal justice, roles of lawyers and judges, social impact of court decisions.",TT,
Anthropology Law,1,mid,UCI,ANTHRO,127D,Anthropology of Law .,"Introduces the anthropological study of law through a focus on the foundations of this subfield, its primary methodologies, and several important topics of inquiry, including policing, immigration, and structural inequalities. Provides an international perspective on law and society.",UCLA,SOCIOL,169,Law and Society,"Specific topics may include law in preindustrial and industrialized societies, legalization of contemporary social relations, participants' experiences of legal processes, lay perceptions of justice, social movements toward equal justice, roles of lawyers and judges, social impact of court decisions.",TT,
Film ,2,easy,UCD,CDM,020,Filmmaking Foundations,"Introduction to filmmaking concepts, principles, and methods. Emphasis on form, content and historical dialectic between classical narrative filmmaking conventions and artists' challenges to these conventions.",UCLA,FILM TV,4,Introduction to Art and Technique of Filmmaking,"Students acquire understanding of practical and aesthetic challenges undertaken by artists and professionals in making of motion pictures and television. Examination of film as both art and industry: storytelling, sound and visual design, casting and performance, editing, finance, advertising, and distribution. Exploration of American and world cinema from filmmaker's perspective. Honing of analytical skills and development of critical vocabulary for study of filmmaking as technical, artistic, and cultural phenomenon.",TT,
Film ,2,easy,UCD,CDM,001,Introduction to Film Studies,"Analysis of film form and narrative, including cinematography, editing, and sound. Issues in film studies including authorship, stardom, race, gender, class, and cultural identity. Introduction to selected cinematic movements and national film traditions.",UCI,FLM&MDA,85,Introduction to Film and Visual Analysis.,"Introduces the language and techniques of visual and film analysis. Teaches students to analyze the moving image; emphasize framing, camera movement, and sound; and conveys how editing produces meaning, reproduces historical ideologies, fosters or disrupts narrative, and cues spectators. Materials Fee",TT,
Film ,2,easy,UCD,CDM,151,Media Theory,"Critical and theoretical approaches to the emergence of new technologies since the invention of photography. Examine various approaches to media; formalist, semiotic, structuralist, Frankfurt School, cybernetics, visual and gamer theory.",UCI,FLM&MDA,110,Film and Media Theory.,"Survey of major directions in film and media theory. Various theories of mass culture, realism, auteurism, semiotics, feminism, cultural studies, and theories of other media, with an emphasis on developing the studentâ€™s ability to analyze and articulate a theoretical argument. Materials Fee",TT,
Film ,2,easy,UCD,CDM,001,Introduction to Film Studies,"Analysis of film form and narrative, including cinematography, editing, and sound. Issues in film studies including authorship, stardom, race, gender, class, and cultural identity. Introduction to selected cinematic movements and national film traditions.",UCSC,FILM,20A,Introduction to Film Studies,"An introduction to the basic elements, range, and diversity of cinematic representation and expression. Aesthetic, theoretical, and critical issues are explored in the context of class screenings and critical readings. If space allows, restrictions may be lifted after priority enrollment.",TT,
Film ,1,mid,UCSC,FILM,136D,Documentary Film and Video,"Explores the category of nonfiction through a historical and theoretical study of documentary in film and video. Addresses ethnographic film, Soviet and Griersonian documentary, cinema verite and/or other selected documentary texts and the issues of representation they raise.",UCD,CDM,104,Documentary Production,"Traditional and new forms of documentary, with focus on technocultural issues. Skills and strategies for producing work in various media. Progression through all stages of production, from conception through post-production to critique.",TT,
Film ,1,mid,UCSC,FILM,136D,Documentary Film and Video,"Explores the category of nonfiction through a historical and theoretical study of documentary in film and video. Addresses ethnographic film, Soviet and Griersonian documentary, cinema verite and/or other selected documentary texts and the issues of representation they raise.",UCD,TCS,155,Introduction to Documentary Studies,"Recent evolution of the documentary. The personal essay film; found-footage/appropriation work; non-linear, multi-media forms; spoken word; storytelling; oral history recordings; and other examples of documentary expression.",TT,
Film ,0,negative,UCD,FMS,127,Film Theory,"Survey of the conceptual frameworks used to study film (including semiotics, psychoanalysis, spectatorship, auteur, genre and narrative theories). Historical survey of major film theorists.",UCLA,FILM TV,4,Introduction to Art and Technique of Filmmaking,"Students acquire understanding of practical and aesthetic challenges undertaken by artists and professionals in making of motion pictures and television. Examination of film as both art and industry: storytelling, sound and visual design, casting and performance, editing, finance, advertising, and distribution. Exploration of American and world cinema from filmmaker's perspective. Honing of analytical skills and development of critical vocabulary for study of filmmaking as technical, artistic, and cultural phenomenon.",TT,
Film ,2,easy,UCD,FMS,127,Film Theory,"Survey of the conceptual frameworks used to study film (including semiotics, psychoanalysis, spectatorship, auteur, genre and narrative theories). Historical survey of major film theorists.",UCLA,FILM TV,103A,Film Theory,"Survey of classical theoretical concepts and movements since the early 20th century, engaging some of the key contributions to studies of the moving image. Examination of imaging and sound capture techniques drawing from science studies, film, philosophy, feminism, and decolonial theory. Discussion of the transformation of film as an art form and the transformation of critical thinking about film and other related media. Focus on the presentation of a variety of films that have inspired critical thought or have challenged the existing knowledge about film. Exploration, through intensive writing, of different forms of college-level writing from close reading of images, sounds, texts, to critical thinking and research papers.",TT,
Film ,0,negative,UCLA,ITALIAN,121,Literature and Film,"Comparative study of specific literary works and their adaptation into film and of different techniques in two media and forms of expression. Texts include literary works, screenplays, and works on literary and film theory.",UCLA,COM LIT,M171,Chinese Immigrant Literature and Film,"Knowledge of Chinese not required. In-depth look at Chinese immigrant experience by reading literature and watching films. Theories of diaspora, gender, and race to inform thinking and discussion of relevant issues.",TT,
Film ,0,negative,UCLA,PORTGSE,141A,Literature and Film in Portuguese,"Taught in English. Study of intertextuality and dialogism, interactions between literary and cinematic fields, question of fidelity, and equivalents between literary and cinematic expression in Portuguese-speaking world.",UCI,GERMAN,103,Topics in German Film.,"Introduction to the history and interpretation of German film within its cultural and social contexts. Enhances German grammar knowledge and vocabulary and develops sophisticated speaking, writing, and reading skills.",TT,
Film ,2,easy,UCI,MUSIC,45,History of Film Music.,Course provides an overview of film music history. Special emphasis will be placed on developing an analytic vocabulary for musical elements and cultivating an understanding of how music can function within a film.,UCLA,MUSCLG,7,Film and Music,"History of music and cinema, particularly ways music is used to produce meanings in conjunction with visual image. Credit for both courses 7 and 177 not allowed.",TT,
Film ,2,easy,UCI,MUSIC,45,History of Film Music.,Course provides an overview of film music history. Special emphasis will be placed on developing an analytic vocabulary for musical elements and cultivating an understanding of how music can function within a film.,UCD,MUS,115,History of Film Music,"Film music from silent films to movies of the past decade. How music supports and shapes film narrative and structure. Use of jazz, rock and classical music in film.",TT,
Film ,2,easy,UCLA,MUSCLG,7,Film and Music,"History of music and cinema, particularly ways music is used to produce meanings in conjunction with visual image. Credit for both courses 7 and 177 not allowed.",UCD,MUS,115,History of Film Music,"Film music from silent films to movies of the past decade. How music supports and shapes film narrative and structure. Use of jazz, rock and classical music in film.",TT,
Film ,1,mid,UCD,CDM,020,Filmmaking Foundations,"Introduction to filmmaking concepts, principles, and methods. Emphasis on form, content and historical dialectic between classical narrative filmmaking conventions and artists' challenges to these conventions.",UCI,FLM&MDA,85,Introduction to Film and Visual Analysis.,"Introduces the language and techniques of visual and film analysis. Teaches students to analyze the moving image; emphasize framing, camera movement, and sound; and conveys how editing produces meaning, reproduces historical ideologies, fosters or disrupts narrative, and cues spectators. Materials Fee",TT,
Film ,0,negative,UCSC,FILM,136D,Documentary Film and Video,"Explores the category of nonfiction through a historical and theoretical study of documentary in film and video. Addresses ethnographic film, Soviet and Griersonian documentary, cinema verite and/or other selected documentary texts and the issues of representation they raise.",UCLA,FILM TV,4,Introduction to Art and Technique of Filmmaking,"Students acquire understanding of practical and aesthetic challenges undertaken by artists and professionals in making of motion pictures and television. Examination of film as both art and industry: storytelling, sound and visual design, casting and performance, editing, finance, advertising, and distribution. Exploration of American and world cinema from filmmaker's perspective. Honing of analytical skills and development of critical vocabulary for study of filmmaking as technical, artistic, and cultural phenomenon.",TT,
Film ,0,negative,UCD,CDM,001,Introduction to Film Studies,"Analysis of film form and narrative, including cinematography, editing, and sound. Issues in film studies including authorship, stardom, race, gender, class, and cultural identity. Introduction to selected cinematic movements and national film traditions.",UCI,FLM&MDA,110,Film and Media Theory.,"Survey of major directions in film and media theory. Various theories of mass culture, realism, auteurism, semiotics, feminism, cultural studies, and theories of other media, with an emphasis on developing the studentâ€™s ability to analyze and articulate a theoretical argument. Materials Fee",TT,
